"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"358","24.145.213.beh","2011-02-11",1297436711,902622,"0001181431-11-009184","xslF345X03/rrd300911.xml",17613,232,175,"robot"
"359","24.145.213.beh","2011-02-11",1297436696,1213325,"0001209191-11-008623","xslF345X03/doc4a.xml",17455,232,175,"robot"
"360","24.145.213.beh","2011-02-11",1297436683,859737,"0001417626-11-000021","xslF345X03/edgardoc.xml",19845,232,175,"robot"
"361","151.200.214.fdf","2011-02-11",1297436654,1412126,"0000000000-10-077320","filename1.pdf",32220,3,1,"human"
"362","67.8.43.hdj","2011-02-11",1297436571,1412126,"0000000000-10-077320",".txt",45896,6,1,"human"
"363","67.8.43.hdj","2011-02-11",1297436553,1412126,"0000000000-10-077320","filename1.pdf",32220,6,1,"human"
"364","173.200.100.dda","2011-02-11",1297436302,1312928,"0001193125-11-030694","ds1a.htm",2490921,30,25,"human"
"365","173.200.100.dda","2011-02-11",1297436288,1471271,"0001199835-11-000054","firemans_contractors-s1a2.htm",2586753,30,25,"human"
"366","173.200.100.dda","2011-02-11",1297436213,1502034,"0001047469-11-000734","a2200657zs-1a.htm",4831214,30,25,"human"
"367","173.200.100.dda","2011-02-11",1297436200,1503401,"0001144204-11-007274","v210463_s1a.htm",1673648,30,25,"human"
"368","173.200.100.dda","2011-02-11",1297436118,1401371,"0001204459-11-000348","ds1a.htm",850894,30,25,"human"
"369","173.200.100.dda","2011-02-11",1297436109,1043873,"0000930413-11-000879","c63032_s1a.htm",1812507,30,25,"human"
"370","173.200.100.dda","2011-02-11",1297436095,1071992,"0000950123-11-011584","g25953a1sv1za.htm",3566612,30,25,"human"
"371","173.200.100.dda","2011-02-11",1297436047,1421524,"0001144204-11-007704","v210728_s1.htm",3630102,30,25,"human"
"372","24.145.213.beh","2011-02-11",1297435824,916085,"0001179110-11-002437","xslF345X03/edgar.xml",43584,232,175,"robot"
"373","24.145.213.beh","2011-02-11",1297435785,717605,"0001179110-11-002331","xslF345X03/edgar.xml",22611,232,175,"robot"
"374","24.145.213.beh","2011-02-11",1297435774,717605,"0001179110-11-002333","xslF345X03/edgar.xml",17108,232,175,"robot"
"375","24.145.213.beh","2011-02-11",1297435765,920112,"0001179110-11-002398","xslF345X03/edgar.xml",32394,232,175,"robot"
"376","24.145.213.beh","2011-02-11",1297435758,1355304,"0001140361-11-007814","xslF345X03/doc1.xml",20247,232,175,"robot"
"377","24.145.213.beh","2011-02-11",1297435747,1232258,"0001104659-11-006516","xslF345X03/a4.xml",24309,232,175,"robot"
